,yTestTrue,VGG16_0,VGG16_1,VGG16_2,VGG16_3,ResNet50_0,ResNet50_1,ResNet50_2,ResNet50_3,InceptionV3_0,InceptionV3_1,InceptionV3_2,InceptionV3_3,Xception_0,Xception_1,Xception_2,Xception_3
CNV-1188386-3,2,1.3256535e-09,6.1502747e-06,0.99995434,3.945649e-05,2.724425e-07,3.9462833e-05,0.99978524,0.00017505208,0.00084126205,0.015783507,0.9813254,0.0020498238,3.283637e-07,5.27448e-07,0.999998,1.1925647e-06
CNV-1188386-4,2,2.9522513e-12,8.064287e-08,0.9999993,6.490316e-07,1.8021132e-06,0.0013779154,0.9982187,0.00040152317,0.00012098259,0.0011935134,0.99717844,0.0015071258,4.102113e-06,1.0015538e-05,0.99998534,5.982031e-07
CNV-1260317-1,2,1.312144e-09,1.0537212e-05,0.99998045,9.024308e-06,3.0011224e-06,9.021719e-05,0.99662775,0.0032789812,1.4356398e-05,0.0005993027,0.9546198,0.044766583,2.2853926e-07,1.9446585e-07,0.9999957,3.8050994e-06
CNV-1290410-1,2,1.3342945e-09,2.4657887e-05,0.9999646,1.0714908e-05,0.00034802654,0.7598443,0.23597196,0.0038356944,0.0017340975,0.0012586234,0.992334,0.0046732975,3.8185126e-06,1.3841901e-06,0.9999764,1.8345141e-05
CNV-1290410-2,2,6.152361e-09,1.3914305e-05,0.9996332,0.00035281622,3.919178e-06,0.00089492265,0.9985879,0.0005131995,0.003513109,0.16422614,0.82457554,0.00768524,0.00045979745,0.0019272862,0.9975447,6.814987e-05
CNV-1290410-3,2,1.8169208e-10,2.0654443e-05,0.9999746,4.7164262e-06,3.4052498e-08,3.4129083e-05,0.9999405,2.5266085e-05,2.4960926e-05,0.00017460878,0.9997912,9.259258e-06,6.595991e-05,1.4107777e-06,0.9999021,3.056021e-05
CNV-1305450-1,2,8.808942e-07,0.0042666504,0.9947678,0.0009646498,0.00022768883,0.002234075,0.9907444,0.0067938645,0.34468415,0.03840421,0.5486902,0.06822144,4.1462198e-07,2.0068815e-06,0.9999746,2.3028691e-05
CNV-1305450-2,2,8.808461e-08,1.37064e-07,0.9904523,0.009547422,0.00062493,0.011101412,0.9852223,0.0030514328,0.005263848,0.001028804,0.9147708,0.07893651,0.0010107568,0.00011934485,0.997255,0.0016148567
CNV-1305450-3,2,7.9507444e-08,6.0261387e-05,0.99966705,0.0002727026,1.6080313e-07,2.0959185e-05,0.99963045,0.00034839456,5.5362387e-05,0.00011497792,0.15591003,0.8439197,2.2465574e-05,6.614925e-05,0.96199244,0.0379189
CNV-1305450-4,2,1.4259645e-09,5.1642826e-05,0.9998764,7.195495e-05,2.1759357e-05,0.020121604,0.9784007,0.0014559529,0.0026971584,0.015572049,0.9778505,0.003880267,2.2754433e-05,1.9880355e-05,0.9999348,2.2534487e-05
CNV-137351-1,2,6.299712e-10,1.7668814e-06,0.9999976,5.943594e-07,0.0003937317,0.119578086,0.87115395,0.008874298,0.0028077962,0.0004088533,0.99658066,0.00020267036,0.000110850495,8.190809e-05,0.99980193,5.4047787e-06
CNV-1415351-1,2,2.3156417e-10,4.8909766e-07,0.99997604,2.3429147e-05,1.18505326e-07,2.6146145e-06,0.99950147,0.00049580156,0.00035922107,0.017114498,0.43517292,0.5473533,5.286285e-06,1.2602017e-05,0.99634236,0.003639686
CNV-154835-1,2,5.3107247e-08,0.009685655,0.9884226,0.0018917809,0.00017946876,0.5486402,0.44369572,0.0074845827,0.0009937367,0.0013031644,0.98259455,0.015108598,5.385226e-07,1.1901247e-06,0.99999666,1.5321987e-06
CNV-154835-2,2,8.932815e-09,0.0023740504,0.99762326,2.7687502e-06,6.836665e-05,0.102754734,0.8091225,0.08805447,0.00011633448,0.010952517,0.987805,0.0011261061,2.801629e-06,7.846984e-06,0.9999821,7.2758176e-06
CNV-163081-1,2,1.6097344e-07,0.007505538,0.99188447,0.0006097797,1.4433851e-08,1.621294e-05,0.9964134,0.0035703252,4.646769e-05,0.00053426606,0.9930225,0.0063967463,2.647846e-05,0.000297357,0.99958414,9.201612e-05
CNV-163081-10,2,6.7995765e-09,3.6889487e-05,0.99993944,2.3641805e-05,1.39035174e-08,6.872287e-05,0.99991,2.1255975e-05,0.00061770517,0.20745844,0.7899124,0.0020114745,1.6018214e-05,9.971031e-05,0.99984753,3.6662415e-05
CNV-163081-2,2,4.7093673e-10,1.2833991e-05,0.99998474,2.362069e-06,2.3059714e-09,2.378826e-05,0.9999696,6.4985875e-06,5.7837638e-06,5.4220356e-05,0.9893779,0.010562093,5.682376e-06,3.3318724e-07,0.9998447,0.00014934226
CNV-163081-3,2,4.2834463e-06,0.70148045,0.29847807,3.7260277e-05,0.00061309163,0.02643872,0.9520527,0.02089538,0.001022784,0.27398154,0.69835943,0.02663626,0.0023398919,0.6586686,0.33890164,8.989212e-05
CNV-163081-4,2,2.3413877e-06,0.008067956,0.9901957,0.0017340521,1.4476739e-08,1.398478e-06,0.999967,3.1597694e-05,2.3525608e-05,0.0012108053,0.88557935,0.11318634,2.8115279e-05,2.9695626e-05,0.982154,0.017788125
CNV-163081-5,2,6.2600114e-10,4.8929724e-05,0.999951,1.4843252e-07,4.8318316e-10,5.417876e-06,0.9999801,1.4559567e-05,0.00024444258,0.008185611,0.9695125,0.022057526,6.9446935e-05,2.6142297e-06,0.99904937,0.0008785523
CNV-163081-6,2,1.9194009e-07,0.005696201,0.9941341,0.00016942024,1.4410802e-10,1.6624384e-07,0.99999964,2.436115e-07,0.00028239752,0.00041187994,0.7162187,0.28308696,3.6076126e-05,2.4185005e-07,0.06550506,0.9344586
CNV-163081-7,2,1.6514034e-05,0.023996577,0.9670405,0.0089464085,1.4711685e-07,3.722531e-05,0.9998149,0.0001476588,0.0024421015,0.0029264544,0.935508,0.0591234,0.000112432834,0.00010461938,0.47025153,0.5295314
CNV-163081-8,2,4.1264767e-07,0.00023310161,0.9991683,0.00059832167,1.5356231e-07,2.7690755e-06,0.9995671,0.00042996148,0.000246496,0.052021418,0.84063596,0.107096195,2.9416515e-07,1.4707197e-07,0.9963683,0.0036312374
CNV-163081-9,2,1.7445862e-08,0.0010794521,0.9988668,5.3749165e-05,6.948579e-09,2.2775216e-06,0.9999889,8.826767e-06,3.4386733e-06,0.00055223977,0.9968887,0.0025556474,1.1664002e-05,8.7890105e-05,0.62272155,0.37717885
CNV-1632795-1,2,1.1381645e-08,8.70027e-05,0.999912,9.665798e-07,7.321114e-07,0.00010358747,0.99975055,0.00014518219,0.002795953,0.020807128,0.97238255,0.0040143994,1.4902452e-05,0.00018994774,0.9997619,3.3304248e-05
CNV-1641792-1,2,6.410807e-09,7.242524e-07,0.9999614,3.7853973e-05,8.964932e-06,0.0007255324,0.999255,1.0524147e-05,0.010353321,0.10342016,0.87114054,0.015086024,0.0017933587,9.598943e-05,0.9973416,0.0007691009
CNV-1641792-2,2,4.259781e-09,0.0019812584,0.99794394,7.4862604e-05,5.4796044e-05,0.05221906,0.9463612,0.0013649627,0.0015904198,0.03897464,0.44969136,0.50974363,0.00038613915,0.000105662526,0.9992448,0.00026341056
CNV-1699976-1,2,7.146071e-05,0.13506112,0.86475724,0.00011020055,0.0023682548,0.13004968,0.8377724,0.029809555,0.00028394672,0.080006,0.9188401,0.00086993776,6.233011e-05,0.5666455,0.43328646,5.6830013e-06
CNV-1699976-2,2,0.00032047703,0.001421107,0.79145765,0.20680076,1.4845558e-06,6.661734e-05,0.99964905,0.00028290815,0.02645178,0.047771454,0.8872729,0.03850393,7.335539e-05,4.103987e-06,0.99991465,7.894212e-06
CNV-1699976-3,2,2.4744234e-06,0.0011011716,0.9988741,2.2256285e-05,0.10247509,0.34261134,0.55402684,0.0008867193,4.093738e-05,0.0029900968,0.9968093,0.00015960123,5.837307e-05,1.3299878e-06,0.99993837,1.9278025e-06
CNV-1699976-4,2,1.1609531e-09,2.8802104e-05,0.9999654,5.6777853e-06,1.5372783e-06,0.013950304,0.9831482,0.0028999206,1.5238731e-05,0.0033515377,0.9202252,0.076408006,3.1728325e-07,5.6067042e-06,0.9999938,2.0617149e-07
CNV-1699976-5,2,2.7401714e-07,2.7468881e-05,0.9958723,0.0040998855,1.0767068e-06,0.00043189488,0.999255,0.00031201635,0.0011260799,0.09632596,0.5322508,0.3702971,3.5250133e-07,2.4450155e-06,0.9999963,9.0338233e-07
CNV-1704482-1,2,4.883676e-07,7.9306345e-05,0.99130297,0.008617313,5.8040514e-06,0.00016452091,0.99597317,0.0038564887,0.00051296555,0.00024307457,0.98979586,0.009448049,7.690608e-07,2.8670422e-07,0.9999645,3.440162e-05
CNV-172472-1,2,7.474145e-07,0.00030506018,0.99956113,0.00013308169,2.9656735e-10,4.7339367e-07,0.9999969,2.662399e-06,1.8248904e-05,0.0007420189,0.93265027,0.066589504,9.801871e-06,9.774679e-06,0.9998319,0.00014851277
CNV-172472-10,2,3.2772207e-06,0.101628624,0.89830804,6.0086906e-05,4.6183737e-10,4.0303676e-05,0.99995553,4.116e-06,0.0014850742,0.013698116,0.9558619,0.028954918,1.01498e-05,0.00014600214,0.99983776,6.129112e-06
CNV-172472-11,2,3.9384274e-09,0.00030325502,0.998831,0.0008657397,3.7119527e-10,1.1867889e-05,0.9999577,3.044067e-05,0.0005060212,0.09240087,0.8942162,0.012876883,7.659834e-06,0.013810996,0.98457795,0.001603444
CNV-172472-2,2,0.0004144358,0.05344653,0.34320888,0.6029302,9.302779e-06,0.90982646,0.05592175,0.034242433,0.24101931,0.0309142,0.40295658,0.3251099,0.0010350338,0.0013535109,0.95970297,0.037908513
CNV-172472-3,2,0.00011775419,0.01167613,0.9849209,0.0032851475,4.387226e-05,0.3207766,0.67897,0.00020955269,0.00034128857,0.018984271,0.9773916,0.0032829167,2.6258971e-05,0.0012907078,0.9982369,0.00044607246
CNV-172472-4,2,0.0004018261,0.09258652,0.25975576,0.64725596,2.725126e-07,0.0075452584,0.96158844,0.030866068,9.833387e-05,0.04949636,0.53141284,0.4189925,8.843661e-06,0.010123251,0.9821148,0.00775311
CNV-172472-5,2,2.6715952e-09,2.1445367e-05,0.99637395,0.0036044703,1.874711e-09,4.137692e-06,0.99989986,9.592978e-05,0.00046701852,0.02747767,0.65604794,0.3160074,2.8966974e-07,6.1527294e-07,0.99984646,0.00015261838
CNV-172472-6,2,2.336475e-07,1.6602018e-05,0.9998692,0.000113940834,2.0469106e-08,5.7137896e-07,0.99991465,8.472594e-05,0.00017689496,0.008529488,0.70458096,0.2867126,7.138153e-06,3.165993e-06,0.98443836,0.015551281
CNV-172472-7,2,0.00052980817,0.9127485,0.064878054,0.021843655,8.977603e-07,0.0005019964,0.99922585,0.0002712227,0.0012538704,0.050711088,0.85065055,0.09738453,9.003414e-06,0.0028190988,0.9966581,0.00051388046
CNV-172472-8,2,0.00031674045,0.9432782,0.05535181,0.0010531652,1.890684e-08,5.726363e-06,0.99997604,1.8216628e-05,0.004541859,0.5871782,0.2847613,0.12351874,4.163962e-05,0.0030237937,0.99533576,0.0015987959
CNV-172472-9,2,6.275878e-05,0.10234229,0.8493726,0.048222307,0.0014400965,0.08381288,0.8020839,0.11266309,0.00327786,0.17337346,0.79061663,0.03273206,3.654816e-06,0.0036632628,0.9962341,9.891998e-05
CNV-1730592-1,2,3.5892977e-08,1.3109031e-06,0.9999608,3.7917755e-05,1.6514137e-05,0.0022010044,0.99353665,0.0042457404,0.00050784094,0.0016591791,0.06473949,0.9330934,5.395271e-05,3.6798097e-05,0.99987364,3.559662e-05
CNV-1730592-2,2,4.057195e-07,2.1987357e-06,0.90078855,0.09920881,3.6810685e-05,0.0012394501,0.85463524,0.14408852,0.020394495,0.014774329,0.13336635,0.83146477,0.023545118,0.0028489998,0.97009295,0.0035129392
CNV-1731375-1,2,2.3609644e-07,0.0039330935,0.9960056,6.1140265e-05,2.4548506e-06,8.936822e-06,0.9932381,0.006750551,3.2168467e-05,0.0040213983,0.9841871,0.011759311,0.0010768631,0.00077517325,0.99055684,0.007591108
CNV-1731375-2,2,2.5558708e-07,0.013258781,0.9866763,6.473138e-05,2.8727577e-08,4.961889e-05,0.9977191,0.0022313239,0.0016329071,0.00217977,0.9959174,0.0002699246,0.00078302756,8.787181e-05,0.99883777,0.00029137952
CNV-1731375-3,2,5.203803e-08,0.00077936106,0.99921703,3.6193637e-06,1.38256935e-08,1.9318097e-06,0.99992347,7.458133e-05,8.234621e-05,9.494455e-05,0.9996425,0.00018015558,3.241249e-05,9.781001e-06,0.99994254,1.5279054e-05
CNV-1784116-1,2,1.2769202e-10,7.920514e-09,0.9999188,8.117575e-05,5.8544245e-09,4.1266848e-08,0.99865997,0.0013400102,0.0014587643,0.001099935,0.4152954,0.5821459,1.5005034e-05,3.9098163e-06,0.7904072,0.20957392
CNV-1894770-1,2,3.8395007e-09,9.257805e-06,0.9998098,0.00018090424,9.017936e-05,2.7145816e-05,0.93309003,0.06679268,0.0007052929,0.00021469619,0.9874901,0.011589887,7.941283e-05,9.182351e-05,0.9976878,0.002140903
CNV-1894770-2,2,3.856366e-07,3.5483914e-05,0.94029975,0.059664298,2.7926362e-06,0.00016681604,0.46880478,0.53102565,0.00051329215,0.0005411806,0.91970843,0.0792371,0.00012379605,0.0008828131,0.9871258,0.011867603
CNV-1980926-1,2,8.4496435e-08,2.948598e-06,0.9935603,0.006436601,3.3301185e-05,0.0018609735,0.9166482,0.08145757,0.0001008483,0.0077633373,0.99089384,0.0012419864,1.750036e-05,1.1108026e-05,0.99995804,1.3321904e-05
CNV-198660-1,2,1.1222386e-07,0.00047472309,0.9995111,1.403189e-05,2.2785356e-05,0.45917523,0.5403635,0.00043857368,0.00020425688,0.0014972533,0.9948708,0.0034277407,3.6063739e-06,0.0025780366,0.99741757,8.068432e-07
CNV-1997439-1,2,1.4962653e-07,0.00029267796,0.99630725,0.0033999013,8.980202e-07,6.247633e-05,0.9994398,0.00049678143,0.0025027862,0.001023755,0.9259733,0.070500076,2.9201838e-05,5.6810827e-06,0.9999175,4.7560912e-05
CNV-1997439-2,2,4.0611563e-11,4.133378e-08,0.9997838,0.00021623539,4.6455065e-07,7.256114e-05,0.99860495,0.0013220819,0.0005317606,0.00027804213,0.99510396,0.004086216,0.00015757114,9.780982e-06,0.9988865,0.00094617496
CNV-1997439-3,2,2.4311568e-08,0.0032642712,0.99673504,5.37183e-07,1.9068211e-05,0.22140096,0.778022,0.00055799715,0.00034879506,0.009849315,0.98572075,0.0040811053,2.50638e-07,0.0005760872,0.999406,1.768422e-05
CNV-1997439-4,2,4.2174128e-07,0.002637564,0.9962535,0.0011085164,3.0950996e-06,0.031615425,0.96670616,0.0016754176,0.00019035226,0.0073394235,0.9602793,0.032190904,0.00025745432,0.0026143359,0.9971119,1.6311682e-05
CNV-1997439-5,2,4.4215497e-08,0.03433381,0.9655524,0.00011373027,2.838605e-07,0.90281534,0.09717749,6.892359e-06,0.00038372749,0.009568614,0.9881021,0.0019455185,5.6457575e-06,9.266899e-06,0.99998283,2.2958543e-06
CNV-1997439-6,2,1.833882e-09,0.0015947282,0.99834776,5.7491685e-05,1.4178342e-09,0.00013480807,0.99932003,0.0005450747,1.2148473e-05,0.0012933426,0.9927781,0.005916359,8.957226e-06,7.5276315e-05,0.9998882,2.7592881e-05
CNV-1997439-7,2,1.0924101e-06,0.009823099,0.97939473,0.010781029,2.9027126e-06,0.023158543,0.9764604,0.00037820695,0.0054627517,0.011974333,0.97116876,0.011394193,0.00011158239,0.022557124,0.97643435,0.0008969553
CNV-2025105-1,2,5.9240623e-08,0.00017300913,0.77654207,0.2232848,0.0012865514,0.027206127,0.9639746,0.0075327572,0.0049811183,0.29193857,0.38350073,0.3195796,0.0003502913,9.704019e-05,0.99332726,0.006225385
CNV-204397-1,2,8.576081e-09,0.00010413085,0.9996439,0.00025195474,2.2055112e-05,0.04081845,0.82833976,0.13081981,4.3620407e-06,0.0014133189,0.9984894,9.293851e-05,8.453242e-07,2.2980104e-05,0.99996734,8.869933e-06
CNV-2116022-1,2,1.826938e-05,0.07433073,0.92187417,0.0037767848,8.854834e-08,0.0020292883,0.9926669,0.0053038117,8.1316575e-05,0.38742745,0.6122278,0.00026348504,1.6299233e-06,6.929341e-05,0.9999114,1.7698296e-05
CNV-2141150-1,2,5.0143617e-10,1.8241628e-05,0.99995315,2.8660883e-05,6.305138e-06,0.005619074,0.99247277,0.0019018274,5.5536322e-05,0.3838043,0.57496965,0.04117055,4.1512516e-07,5.530074e-06,0.99999344,6.177241e-07
CNV-2141150-2,2,1.0753646e-08,0.0020179902,0.9978713,0.0001107982,1.6975721e-09,0.0032313666,0.9798415,0.016927242,1.4512314e-05,0.4468425,0.49877694,0.054366045,7.2668215e-08,1.6889857e-05,0.99992466,5.8387694e-05
CNV-2158821-1,2,1.4899777e-08,0.00014883956,0.99984896,2.1471114e-06,0.00016092153,0.00022402998,0.99959546,1.9530768e-05,0.0002222948,0.005501965,0.9925545,0.0017212575,2.2301745e-06,1.4372822e-07,0.99998367,1.3909868e-05
CNV-2158821-2,2,1.3641291e-10,2.1202086e-06,0.9999974,4.4708696e-07,3.196872e-05,0.00013976514,0.99936146,0.00046678525,4.0527517e-05,0.0018041234,0.9849903,0.013165055,8.309773e-06,4.4019274e-07,0.999977,1.4290039e-05
CNV-2168793-1,2,2.3758993e-08,8.230308e-05,0.99978906,0.00012857786,5.5962253e-05,0.7738997,0.22517432,0.00087000796,0.000397475,0.0036767984,0.971836,0.024089726,6.2498515e-08,1.6270784e-06,0.9999927,5.623856e-06
CNV-2177326-1,2,8.803022e-07,0.0049368967,0.9947649,0.0002973302,2.081763e-06,0.006180382,0.9932991,0.0005184088,0.002888566,0.7697964,0.22100388,0.0063111973,4.5727248e-08,8.925621e-06,0.9999908,1.9317622e-07
CNV-218676-1,2,9.786997e-06,0.20830107,0.7060644,0.08562469,0.00044083563,0.0022067032,0.75163627,0.2457162,0.00017696133,5.3953743e-05,0.4055342,0.5942349,1.0021846e-05,4.7090707e-06,0.995259,0.0047263457
CNV-2192440-1,2,5.1870324e-11,5.7831384e-09,0.9999424,5.759928e-05,3.1024954e-06,0.0021761544,0.99615085,0.0016699131,0.0010535752,0.004573038,0.99263155,0.0017417726,4.207764e-06,8.732391e-05,0.9998865,2.1938818e-05
CNV-2192440-2,2,4.64469e-07,0.0011930526,0.99880266,3.818671e-06,4.6566718e-05,4.773907e-05,0.9998399,6.578511e-05,2.1840882e-05,0.0067874785,0.9930856,0.000105183135,1.1413825e-05,1.2337416e-05,0.9999758,4.62998e-07
CNV-2350851-1,2,2.4805493e-11,3.4945663e-06,0.9999926,3.9803836e-06,1.3336316e-08,2.037911e-05,0.9999746,4.9959067e-06,4.6882137e-06,0.00050328195,0.99949026,1.789899e-06,0.0011845749,3.6900434e-05,0.99876827,1.0183345e-05
CNV-2438783-1,2,5.4847895e-08,5.009855e-05,0.9999393,1.0478698e-05,8.193497e-05,0.09005923,0.9051291,0.0047298153,7.564088e-05,0.0014150505,0.9484535,0.050055884,0.013969645,0.0003181054,0.9119324,0.07377984
CNV-2438783-2,2,1.1636943e-08,9.114516e-06,0.99636555,0.0036253035,1.982346e-07,1.5124188e-07,0.98542297,0.014576736,0.00017822493,0.0002025316,0.99928814,0.00033115974,2.421795e-07,2.331711e-07,0.99998915,1.0332893e-05
CNV-2541184-1,2,5.4235954e-07,0.58490306,0.41508064,1.571437e-05,5.961727e-07,0.88027835,0.11901082,0.00071020395,0.00056001596,0.11030277,0.6529675,0.23616968,6.3661514e-07,0.00063028425,0.9993687,4.1146734e-07
CNV-2632189-1,2,4.80651e-10,6.771919e-05,0.999931,1.2757234e-06,3.9271725e-07,4.2516353e-05,0.99994814,8.8932675e-06,5.4936583e-05,0.0061197765,0.99360317,0.00022213635,6.66521e-07,5.7810787e-05,0.9999409,5.919438e-07
CNV-2692822-1,2,1.0284288e-08,0.0009054115,0.9355223,0.063572235,5.8451224e-07,0.00054969947,0.98592025,0.013529476,0.00015908689,0.00034356117,0.7611963,0.23830107,2.99998e-05,1.6215339e-06,0.9997465,0.00022185207
CNV-2725524-1,2,1.1023621e-09,5.7431726e-07,0.84348774,0.15651166,9.880575e-07,2.0255286e-06,0.99985147,0.0001455297,0.00042573185,0.006344278,0.9917035,0.0015264266,0.00025356162,0.00029392686,0.99942195,3.0676554e-05
CNV-2725524-2,2,4.549511e-09,1.332125e-08,0.0014389696,0.9985611,0.00016041478,2.5314053e-05,0.9136535,0.08616083,0.0077876803,0.009106058,0.8745814,0.108524896,0.0004673536,0.00029862116,0.99601895,0.003215067
CNV-2760476-1,2,2.9446065e-07,8.594876e-05,0.9999064,7.23217e-06,0.00011007958,0.044030786,0.95544636,0.0004127813,0.005578028,0.0007688041,0.028958721,0.9646944,2.1706921e-05,2.850642e-05,0.99988306,6.673595e-05
CNV-2959614-1,2,6.255732e-10,0.00019813061,0.9997688,3.314276e-05,2.7785132e-08,0.00012461089,0.9998349,4.043043e-05,3.3253216e-06,2.6101881e-05,0.9999541,1.64316e-05,4.3897753e-06,3.659582e-07,0.99999106,4.227935e-06
CNV-2959614-2,2,1.507091e-08,1.2523804e-05,0.999972,1.5452142e-05,0.032831676,0.006136981,0.894949,0.066082254,2.6186472e-05,0.00015926073,0.9996382,0.00017635552,4.524168e-06,5.465504e-07,0.9999945,3.743108e-07
